                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1186,                 3.9094,                 4.1055,                 0.0121,                0.62295,                0.09681,                0.02339,                 2.9315,                 3.6205,                 4.4923,             0.00047092,             0.00047092,             0.00047092
                      2,                  3.024,                 3.3311,                 3.6178,                0.25506,                0.32787,                0.20257,                0.04303,                 2.6597,                 7.7442,                 3.3696,             0.00090974,             0.00090974,             0.00090974
                      3,                 2.5282,                 3.0371,                 3.1708,                0.28555,                 0.2623,                0.18598,                0.05595,                 2.6418,                 2.8064,                 4.0729,              0.0013108,              0.0013108,              0.0013108
                      4,                  2.266,                 2.7473,                  2.912,                0.54128,                0.59016,                0.54118,                  0.185,                 2.0548,                 2.3196,                 2.7426,              0.0012592,              0.0012592,              0.0012592
                      5,                 2.1113,                 2.5099,                 2.7171,                0.41257,                0.47541,                0.34878,                0.12407,                 2.5776,                 3.2698,                 3.2761,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.9869,                 2.3208,                 2.5739,                  0.445,                0.51267,                0.51971,                0.16855,                 2.1918,                 2.3235,                  2.791,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.9447,                 2.2543,                 2.5055,                0.72981,                0.59016,                0.67291,                0.22832,                 2.0232,                 1.6568,                  2.653,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.8484,                 2.0836,                 2.4021,                0.66528,                0.72131,                0.74676,                0.31376,                 1.8521,                 1.6235,                 2.4732,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.8311,                 2.0107,                 2.3725,                0.64032,                0.70492,                0.71694,                0.22839,                 1.9963,                  1.706,                 2.6245,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.7763,                 1.9324,                 2.2986,                0.64951,                0.86885,                0.82583,                0.31404,                 1.9324,                  1.534,                 2.5364,              0.0009197,              0.0009197,              0.0009197
                     11,                   1.73,                 1.8326,                 2.2626,                0.77131,                 0.7541,                 0.8751,                0.32962,                 1.8035,                 1.4424,                 2.4341,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.7254,                 1.8427,                 2.2653,                0.86423,                0.86885,                0.92317,                0.42289,                 1.7339,                  1.274,                  2.393,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.6711,                 1.7722,                 2.2168,                0.77548,                0.88525,                0.92388,                0.37065,                 1.9115,                 1.2675,                 2.4873,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.6695,                 1.7353,                 2.1901,                0.82489,                0.88525,                0.91241,                0.38478,                   1.84,                 1.2034,                 2.5066,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.6433,                 1.6956,                 2.1913,                0.65013,                0.90164,                0.78335,                0.28644,                 1.7587,                 1.3969,                 2.3948,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.5664,                 1.4461,                 2.2557,                0.84863,                0.93443,                0.95879,                0.41142,                 1.8112,                 1.1346,                 2.3995,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.5402,                 1.2896,                 2.2166,                0.98141,                0.86543,                0.96181,                0.45215,                 1.7667,                 1.0455,                 2.3592,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.4805,                 1.2422,                 2.1718,                0.85019,                0.95082,                0.95803,                0.46775,                 1.6979,                 1.0343,                 2.3057,               0.000467,               0.000467,               0.000467
                     19,                 1.4443,                 1.1844,                 2.1244,                0.91687,                0.93443,                0.96182,                0.45972,                 1.6946,                 1.0431,                 2.3079,             0.00041041,             0.00041041,             0.00041041
                     20,                  1.414,                  1.148,                 2.0978,                0.88972,                0.91803,                0.94463,                0.44074,                 1.7161,                 1.0958,                 2.3287,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.3745,                 1.0847,                 2.0491,                 0.8892,                0.92098,                0.97196,                0.47461,                 1.7167,                0.98575,                 2.3255,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.3457,                 1.0488,                 2.0218,                0.87662,                0.86885,                0.93366,                0.45929,                  1.637,                 1.0193,                 2.2222,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.3405,                 1.0285,                 2.0021,                0.94704,                0.87948,                0.93336,                0.41145,                 1.7521,                 1.0776,                 2.3588,             0.00018406,             0.00018406,             0.00018406
                     24,                 1.3034,                0.99509,                 1.9574,                0.91796,                0.91716,                0.93441,                0.39597,                 1.7796,                 1.0402,                 2.3817,             0.00012747,             0.00012747,             0.00012747
                     25,                 1.2578,                0.95005,                  1.921,                0.92218,                0.90164,                0.96223,                0.47169,                 1.6465,                 0.9944,                 2.2229,             7.0878e-05,             7.0878e-05,             7.0878e-05
